Subject,Number of Problems,Type of Questions,Difficulty,Time (min)
CptS 260,4,long answer,hard,110
CptS 223,9,long answer,hard,200
Physics 202,14,calculation,medium,170
Physics 201,12,calculation,hard,120
Calculus,30,mixed,medium,75
Discrete Math,35,long answer,easy,135
CptS 260,5,long answer,hard,120
CptS 223,12,long answer,hard,150
Physics 202,12,calculation,hard,130
Physics 201,13,mixed,medium,115
Calculus,35,calculation,medium,110
Discrete Math,32,calculation,medium,65
CptS 260,7,long answer,medium,120
CptS 223,9,long answer,hard,135
Physics 202,10,calculation,hard,120
Physics 201,4,multiple choice,easy,27
Calculus,26,calculation,medium,60
Discrete Math,32,long answer,medium,180
CptS 260,5,long answer,hard,130
CptS 223,8,long answer,medium,160
Physics 202,14,calculation,hard,170
Physics 201,11,calculation,hard,120
Calculus,30,mixed,medium,70
Discrete Math,35,long answer,medium,150
CptS 260,7,long answer,easy,90
CptS 223,12,long answer,medium,120
Physics 202,7,calculation,hard,110
Physics 201,14,mixed,medium,120
Calculus,50,calculation,easy,160
Discrete Math,28,calculation,medium,45
CptS 260,4,long answer,hard,120
CptS 223,7,long answer,hard,120
Physics 202,12,calculation,hard,145
Physics 201,4,multiple choice,easy,30
Calculus,22,calculation,medium,50
Discrete Math,32,long answer,medium,180
CptS 260,5,long answer,hard,125
CptS 223,10,long answer,hard,220
Physics 202,14,calculation,hard,170
Physics 201,14,calculation,hard,150
Calculus,30,mixed,medium,75
Discrete Math,30,long answer,medium,160
CptS 260,5,long answer,hard,135
CptS 223,12,long answer,hard,150
Physics 202,13,calculation,hard,145
Physics 201,14,mixed,medium,120
Calculus,38,calculation,easy,95
Discrete Math,32,calculation,medium,50
CptS 260,9,long answer,easy,120
CptS 223,7,long answer,hard,120
Physics 202,13,calculation,hard,150
Physics 201,4,multiple choice,easy,20
Calculus,18,calculation,medium,45
Discrete Math,40,long answer,medium,200
CptS 260,4,long answer,hard,110
CptS 223,8,long answer,hard,200
Physics 202,14,calculation,hard,170
